id,name,route,price,timing
145,Path Wheels,Lucknow - Mumbai,2227,02:00 PM
146,Travels Way,Lucknow - Srinagar,862,05:00 PM
147,Link Travels,Lucknow - Salem,1093,06:00 PM
148,Runner Coast,Lucknow - Panipat,3134,10:00 PM
149,Wheels Path,Lucknow - Warangal,1279,11:00 AM
150,Wheels Coast,Lucknow - Chandigarh,1933,11:00 AM
151,Express Trail,Lucknow - Vijayawada,2689,02:00 PM
152,Shuttle Shuttle,Lucknow - Noida,3096,10:00 PM
153,Wheels Express,Lucknow - Kota,3746,11:00 AM
154,Ride Travels,Lucknow - Ghaziabad,1148,10:00 AM
155,Wheels Travels,Kanpur - Panipat,3154,06:00 AM
156,Way Runner,Kanpur - Noida,2337,06:00 PM
157,Wheels Link,Kanpur - Asansol,3949,08:00 AM
158,Runner Travels,Kanpur - Agra,1548,10:00 PM
159,Way Ride,Kanpur - Bhilai,2049,07:00 PM
160,Link Way,Kanpur - Vadodara,3463,12:00 PM
161,Wheels Wheels,Kanpur - Surat,2609,05:00 PM
162,Line Express,Kanpur - Bhubaneswar,1666,02:00 PM
163,Travels Trail,Kanpur - Gorakhpur,830,09:00 AM
164,Path Express,Kanpur - Nashik,3901,02:00 PM
165,Shuttle Line,Nagpur - Hubli,1219,10:00 PM
166,Ride Ride,Nagpur - Ghaziabad,1985,12:00 PM
167,Express Travels,Nagpur - Ahmedabad,1822,06:00 PM
168,Shuttle Link,Nagpur - Delhi,3404,10:00 AM
169,Express Wheels,Nagpur - Hyderabad,1007,01:00 PM
170,Line Trail,Nagpur - Shimla,854,04:00 PM
171,Coast Path,Nagpur - Ahmedabad,947,04:00 PM
172,Trail Coast,Nagpur - Shimla,2937,06:00 PM
173,Line Line,Nagpur - Kanpur,929,09:00 PM
174,Way Coast,Nagpur - Ahmedabad,3155,07:00 AM
175,Coast Ride,Nagpur - Rajkot,3508,04:00 PM
176,Line Express,Nagpur - Jodhpur,2716,09:00 PM
177,Link Runner,Nagpur - Asansol,3124,10:00 PM
178,Express Path,Nagpur - Bhopal,2181,04:00 PM
179,Ride Travels,Nagpur - Nashik,2899,05:00 PM
180,Line Ride,Nagpur - Chennai,2695,02:00 PM
181,Travels Way,Nagpur - Ajmer,3692,06:00 AM
182,Runner Express,Indore - Bhubaneswar,924,11:00 AM
183,Trail Path,Indore - Guwahati,2788,05:00 PM
184,Travels Wheels,Indore - Hubli,3525,02:00 PM
185,Line Wheels,Indore - Ajmer,3176,12:00 PM
186,Express Runner,Indore - Kolhapur,1997,09:00 PM
187,Trail Link,Indore - Nagpur,3504,04:00 PM
188,Shuttle Line,Indore - Siliguri,2041,04:00 PM
189,Express Link,Indore - Vadodara,2044,09:00 AM
190,Way Path,Indore - Vadodara,1886,09:00 AM
191,Coast Express,Indore - Ghaziabad,3799,06:00 AM
192,Path Wheels,Indore - Dhanbad,1576,05:00 PM
193,Travels Path,Indore - Hyderabad,1176,06:00 PM
194,Travels Trail,Indore - Meerut,3618,12:00 PM
195,Ride Ride,Indore - Amritsar,1085,09:00 AM
196,Coast Trail,Indore - Srinagar,3066,05:00 PM
197,Ride Travels,Indore - Dehradun,3820,02:00 PM
198,Trail Runner,Indore - Patna,1358,09:00 AM
199,Coast Path,Thane - Dehradun,2154,05:00 PM
200,Line Link,Thane - Gwalior,2412,08:00 AM
201,Express Trail,Thane - Ahmedabad,1584,02:00 PM
202,Wheels Path,Thane - Nashik,1527,10:00 PM
203,Runner Runner,Thane - Guwahati,3392,04:00 PM
204,Travels Link,Thane - Dhanbad,881,10:00 PM
205,Line Coast,Thane - Shimla,2998,06:00 AM
206,Travels Path,Thane - Jaipur,1206,01:00 PM
207,Ride Shuttle,Thane - Jaipur,2047,09:00 AM
208,Line Way,Thane - Hyderabad,2505,09:00 PM
209,Way Express,Thane - Guntur,2416,06:00 AM
210,Line Shuttle,Thane - Guwahati,2060,08:00 AM
211,Link Travels,Thane - Lucknow,1025,09:00 AM
212,Trail Coast,Thane - Meerut,833,02:00 PM
213,Express Coast,Thane - Meerut,3659,09:00 AM
214,Ride Coast,Thane - Gorakhpur,921,10:00 AM
215,Coast Trail,Thane - Bangalore,1656,03:00 PM
216,Line Path,Bhopal - Noida,3343,10:00 PM
217,Ride Path,Bhopal - Vijayawada,2054,08:00 PM
218,Shuttle Express,Bhopal - Bangalore,960,06:00 AM
219,Link Trail,Bhopal - Jamshedpur,2834,06:00 AM
220,Way Ride,Bhopal - Guntur,990,11:00 AM
221,Ride Line,Bhopal - Cuttack,2742,09:00 PM
222,Coast Path,Bhopal - Bikaner,3381,03:00 PM
223,Path Ride,Bhopal - Shimla,2606,12:00 PM
224,Shuttle Express,Bhopal - Asansol,3684,12:00 PM
225,Way Path,Bhopal - Nagpur,2888,05:00 PM
226,Wheels Ride,Bhopal - Shimla,2569,04:00 PM
227,Coast Express,Bhopal - Faridabad,2131,01:00 PM
228,Trail Coast,Bhopal - Ahmedabad,3609,12:00 PM
229,Ride Ride,Bhopal - Coimbatore,3953,06:00 AM
230,Trail Wheels,Bhopal - Hyderabad,2474,12:00 PM
231,Shuttle Coast,Bhopal - Ranchi,1475,09:00 AM
232,Shuttle Wheels,Bhopal - Guntur,2212,07:00 PM
233,Express Ride,Bhopal - Patna,2928,09:00 AM
234,Link Path,Visakhapatnam - Surat,3994,11:00 AM
235,Path Ride,Visakhapatnam - Haridwar,3106,08:00 AM
236,Path Line,Visakhapatnam - Bhilai,1950,06:00 PM
237,Ride Runner,Visakhapatnam - Guntur,3211,02:00 PM
238,Way Path,Visakhapatnam - Thiruvananthapuram,3303,03:00 PM
239,Coast Link,Visakhapatnam - Gorakhpur,2487,07:00 PM
240,Ride Runner,Visakhapatnam - Salem,3066,02:00 PM
241,Way Way,Visakhapatnam - Thiruvananthapuram,3288,08:00 PM
242,Way Ride,Visakhapatnam - Gwalior,1795,06:00 PM
243,Trail Shuttle,Visakhapatnam - Faridabad,1346,01:00 PM
244,Runner Express,Visakhapatnam - Ahmedabad,1208,06:00 AM
245,Shuttle Travels,Visakhapatnam - Surat,1248,10:00 PM
246,Express Runner,Visakhapatnam - Salem,1940,01:00 PM
247,Link Express,Visakhapatnam - Bikaner,1821,04:00 PM
248,Wheels Path,Visakhapatnam - Bhubaneswar,1005,04:00 PM
249,Path Coast,Visakhapatnam - Shimla,3353,11:00 AM
250,Runner Shuttle,Visakhapatnam - Bikaner,3081,04:00 PM
251,Way Runner,Visakhapatnam - Rajkot,2061,05:00 PM
252,Travels Express,Patna - Haridwar,2495,03:00 PM
253,Line Shuttle,Patna - Ajmer,901,08:00 PM
254,Travels Trail,Patna - Hubli,1830,06:00 AM
255,Path Way,Patna - Bikaner,2142,11:00 AM
256,Travels Link,Patna - Srinagar,2401,10:00 AM
257,Way Wheels,Patna - Agra,816,09:00 AM
258,Line Ride,Patna - Guwahati,2050,07:00 AM
259,Ride Coast,Patna - Ajmer,1557,03:00 PM
260,Line Runner,Patna - Kota,3021,09:00 PM
261,Coast Coast,Patna - Salem,976,10:00 PM
262,Express Travels,Patna - Delhi,2552,06:00 PM
263,Runner Trail,Patna - Bareilly,3554,10:00 AM
264,Path Way,Patna - Vadodara,3460,12:00 PM
265,Travels Line,Patna - Pune,1649,10:00 AM
266,Travels Trail,Patna - Aligarh,3654,10:00 AM
267,Travels Link,Patna - Aligarh,1245,04:00 PM
268,Shuttle Travels,Patna - Vijayawada,3540,09:00 AM
269,Line Express,Patna - Aurangabad,1052,09:00 PM
270,Shuttle Ride,Patna - Kota,3686,03:00 PM
271,Travels Coast,Patna - Bhubaneswar,2176,07:00 AM
272,Express Link,Vadodara - Aurangabad,2448,06:00 PM
273,Line Travels,Vadodara - Rajkot,969,12:00 PM
274,Path Link,Vadodara - Jamshedpur,3254,05:00 PM
275,Wheels Runner,Vadodara - Kota,3324,05:00 PM
276,Path Express,Vadodara - Allahabad,2321,02:00 PM
277,Travels Trail,Vadodara - Haridwar,2171,08:00 AM
278,Express Coast,Vadodara - Noida,971,09:00 AM
279,Express Shuttle,Vadodara - Ahmedabad,3642,04:00 PM
280,Line Express,Vadodara - Chandigarh,2465,12:00 PM
281,Express Express,Vadodara - Rajkot,3616,07:00 PM
282,Coast Coast,Vadodara - Tirunelveli,2570,06:00 AM
283,Express Express,Vadodara - Shimla,2100,11:00 AM
284,Trail Travels,Vadodara - Rajkot,846,09:00 PM
285,Trail Line,Ghaziabad - Jalandhar,3267,08:00 PM
286,Wheels Express,Ghaziabad - Chennai,3195,12:00 PM
287,Path Way,Ghaziabad - Cuttack,2064,07:00 PM
288,Way Path,Ghaziabad - Visakhapatnam,2369,08:00 AM
289,Express Ride,Ghaziabad - Kozhikode,2398,09:00 PM
290,Line Shuttle,Ghaziabad - Lucknow,2524,08:00 PM
291,Trail Shuttle,Ghaziabad - Mysore,1055,10:00 PM
292,Line Travels,Ghaziabad - Dehradun,2994,04:00 PM
293,Travels Runner,Ghaziabad - Udaipur,2834,10:00 PM
294,Trail Link,Ghaziabad - Indore,3360,06:00 PM
295,Line Wheels,Ghaziabad - Meerut,982,07:00 PM
296,Line Runner,Ghaziabad - Faridabad,3140,09:00 AM
297,Link Wheels,Ghaziabad - Warangal,1652,10:00 AM
298,Link Way,Ghaziabad - Srinagar,2117,10:00 AM
299,Wheels Express,Ghaziabad - Srinagar,2328,12:00 PM
300,Trail Shuttle,Ludhiana - Bangalore,2568,08:00 PM
301,Way Runner,Ludhiana - Varanasi,2401,11:00 AM
302,Path Coast,Ludhiana - Visakhapatnam,3508,10:00 PM
303,Line Way,Ludhiana - Agra,3267,10:00 PM
304,Link Trail,Ludhiana - Udaipur,3448,06:00 AM
305,Coast Link,Ludhiana - Indore,1303,01:00 PM
306,Trail Coast,Ludhiana - Faridabad,3558,10:00 AM
307,Runner Link,Ludhiana - Bhopal,3201,10:00 PM
308,Trail Travels,Ludhiana - Vadodara,1008,11:00 AM
309,Express Shuttle,Ludhiana - Jodhpur,3235,05:00 PM
310,Express Express,Ludhiana - Mysore,1694,08:00 AM
311,Runner Line,Ludhiana - Nagpur,3020,09:00 AM
312,Travels Travels,Ludhiana - Allahabad,2325,02:00 PM
313,Ride Trail,Ludhiana - Delhi,2579,07:00 PM
314,Link Line,Ludhiana - Kanpur,2040,05:00 PM
315,Shuttle Trail,Agra - Chandigarh,2466,12:00 PM
316,Express Way,Agra - Allahabad,2338,06:00 PM
317,Runner Path,Agra - Jaipur,1058,03:00 PM
318,Shuttle Express,Agra - Jalandhar,3177,11:00 AM
319,Shuttle Runner,Agra - Bangalore,2794,09:00 AM
320,Trail Runner,Agra - Jamshedpur,2145,05:00 PM
321,Express Wheels,Agra - Coimbatore,1141,08:00 PM
322,Travels Coast,Agra - Salem,3646,11:00 AM
323,Shuttle Wheels,Agra - Dhanbad,2977,01:00 PM
324,Ride Way,Agra - Gwalior,3200,07:00 AM
325,Runner Ride,Agra - Salem,1239,09:00 PM
326,Ride Travels,Agra - Warangal,3331,03:00 PM
327,Link Link,Agra - Bareilly,3120,02:00 PM
328,Way Ride,Agra - Allahabad,3712,05:00 PM
329,Way Line,Agra - Cuttack,2476,06:00 AM
330,Express Way,Agra - Varanasi,927,05:00 PM
331,Wheels Way,Agra - Thiruvananthapuram,1439,06:00 AM
332,Runner Shuttle,Agra - Aligarh,2777,09:00 PM
333,Coast Shuttle,Agra - Bhopal,1138,09:00 AM
334,Line Ride,Agra - Dhanbad,1042,11:00 AM
335,Wheels Path,Nashik - Kozhikode,1847,03:00 PM
336,Coast Travels,Nashik - Dehradun,3779,10:00 AM
337,Coast Runner,Nashik - Ghaziabad,2766,09:00 PM
338,Coast Coast,Nashik - Panipat,2868,01:00 PM
339,Shuttle Link,Nashik - Warangal,2334,09:00 PM
340,Path Shuttle,Nashik - Jalandhar,3818,11:00 AM
341,Express Trail,Nashik - Haridwar,3188,07:00 PM
342,Coast Travels,Nashik - Pune,3642,09:00 AM
343,Link Line,Nashik - Bhubaneswar,3104,05:00 PM
344,Express Travels,Nashik - Bareilly,2284,06:00 PM
345,Shuttle Trail,Nashik - Dhanbad,2018,08:00 PM
346,Link Trail,Nashik - Faridabad,1510,12:00 PM
347,Coast Travels,Nashik - Agra,1567,09:00 PM
348,Path Way,Nashik - Mysore,1971,09:00 PM
349,Travels Path,Nashik - Kota,3472,02:00 PM
350,Coast Ride,Nashik - Meerut,1796,08:00 PM
351,Link Shuttle,Faridabad - Jamshedpur,2546,01:00 PM
352,Wheels Shuttle,Faridabad - Allahabad,1720,10:00 AM
353,Runner Shuttle,Faridabad - Allahabad,1173,07:00 AM
354,Runner Wheels,Faridabad - Shimla,3424,02:00 PM
355,Line Coast,Faridabad - Warangal,1351,05:00 PM
356,Link Link,Faridabad - Siliguri,3851,08:00 PM
357,Trail Wheels,Faridabad - Aligarh,3678,07:00 AM
358,Trail Travels,Faridabad - Jodhpur,3301,07:00 PM
359,Express Path,Faridabad - Bhopal,1254,10:00 AM
360,Way Express,Faridabad - Ahmedabad,3865,09:00 PM
361,Path Travels,Faridabad - Visakhapatnam,1475,11:00 AM
362,Coast Way,Faridabad - Guntur,2846,08:00 PM
363,Runner Trail,Faridabad - Indore,1038,10:00 PM
364,Link Link,Faridabad - Udaipur,1748,07:00 AM
365,Path Express,Faridabad - Aligarh,1111,07:00 PM
366,Trail Trail,Faridabad - Aligarh,2018,06:00 AM
367,Express Runner,Faridabad - Meerut,3978,06:00 PM
368,Trail Link,Faridabad - Guwahati,2380,07:00 PM
369,Runner Coast,Faridabad - Trichy,3133,10:00 AM
370,Shuttle Trail,Faridabad - Gorakhpur,2592,05:00 PM
371,Coast Link,Meerut - Coimbatore,1324,12:00 PM
372,Way Line,Meerut - Kota,3384,10:00 PM
373,Link Trail,Meerut - Tirunelveli,889,05:00 PM
374,Express Runner,Meerut - Srinagar,2646,02:00 PM
375,Travels Trail,Meerut - Varanasi,2561,06:00 PM
376,Express Coast,Meerut - Trichy,2430,03:00 PM
377,Link Shuttle,Meerut - Shimla,1565,12:00 PM
378,Trail Way,Meerut - Kolkata,3380,01:00 PM
379,Link Path,Meerut - Hyderabad,1078,10:00 AM
380,Express Path,Meerut - Pune,3554,01:00 PM
381,Runner Travels,Meerut - Siliguri,2049,09:00 AM
382,Link Way,Meerut - Jalandhar,2137,03:00 PM
383,Line Trail,Meerut - Vadodara,2851,09:00 PM
384,Path Shuttle,Meerut - Guwahati,913,05:00 PM
385,Coast Runner,Meerut - Dehradun,848,04:00 PM
386,Runner Shuttle,Meerut - Mumbai,1268,09:00 AM
387,Runner Wheels,Meerut - Noida,2615,01:00 PM
388,Travels Travels,Meerut - Mysore,2340,08:00 PM
389,Line Way,Meerut - Bhilai,2217,03:00 PM
390,Express Express,Meerut - Tirunelveli,831,01:00 PM
391,Travels Shuttle,Rajkot - Delhi,1862,04:00 PM
392,Path Runner,Rajkot - Jalandhar,1901,06:00 PM
393,Express Shuttle,Rajkot - Pune,2214,02:00 PM
394,Path Trail,Rajkot - Meerut,1571,06:00 AM
395,Coast Wheels,Rajkot - Ahmedabad,2686,12:00 PM
396,Path Ride,Rajkot - Surat,1290,04:00 PM
397,Way Coast,Rajkot - Srinagar,1041,02:00 PM
398,Express Way,Rajkot - Shimla,3212,11:00 AM
399,Express Line,Rajkot - Tirunelveli,3987,08:00 AM
400,Travels Shuttle,Rajkot - Bikaner,2041,12:00 PM
401,Shuttle Coast,Rajkot - Vadodara,3054,10:00 PM
402,Way Ride,Rajkot - Trichy,2924,10:00 AM
403,Coast Link,Rajkot - Mumbai,1842,09:00 AM
404,Link Link,Varanasi - Pune,1571,05:00 PM
405,Shuttle Shuttle,Varanasi - Ahmedabad,810,06:00 AM
406,Coast Shuttle,Varanasi - Bhubaneswar,2438,11:00 AM
407,Way Line,Varanasi - Thiruvananthapuram,902,02:00 PM
408,Express Coast,Varanasi - Hyderabad,3036,10:00 AM
409,Coast Wheels,Varanasi - Vijayawada,1604,06:00 AM
410,Way Shuttle,Varanasi - Patna,2533,05:00 PM
411,Ride Line,Varanasi - Bangalore,3646,05:00 PM
412,Shuttle Way,Varanasi - Lucknow,816,11:00 AM
413,Wheels Line,Varanasi - Pune,2453,04:00 PM
414,Line Line,Varanasi - Bhilai,1117,09:00 AM
415,Line Link,Varanasi - Bhopal,3244,12:00 PM
416,Trail Path,Varanasi - Kolhapur,2112,02:00 PM
417,Link Way,Varanasi - Trichy,1497,10:00 AM
418,Link Runner,Varanasi - Jaipur,1173,04:00 PM
419,Line Path,Varanasi - Udaipur,3897,10:00 AM
420,Link Trail,Varanasi - Ghaziabad,1692,09:00 AM
421,Shuttle Express,Varanasi - Ajmer,3076,12:00 PM
422,Line Shuttle,Varanasi - Udaipur,3679,03:00 PM
423,Wheels Runner,Srinagar - Chandigarh,1403,04:00 PM
424,Travels Runner,Srinagar - Gwalior,3068,08:00 PM
425,Runner Line,Srinagar - Visakhapatnam,2396,11:00 AM
426,Trail Line,Srinagar - Nashik,2325,08:00 AM
427,Line Wheels,Srinagar - Kota,1102,07:00 AM
428,Express Link,Srinagar - Hubli,1311,10:00 AM
429,Express Link,Srinagar - Warangal,1073,09:00 AM
430,Way Ride,Srinagar - Jamshedpur,3692,06:00 AM
431,Way Link,Srinagar - Ajmer,3033,02:00 PM
432,Ride Coast,Srinagar - Kota,2657,06:00 AM
433,Ride Runner,Srinagar - Panipat,1115,08:00 AM
434,Link Ride,Srinagar - Bikaner,2268,06:00 PM
435,Path Travels,Srinagar - Ahmedabad,1240,10:00 AM
436,Shuttle Path,Aurangabad - Shimla,2818,08:00 AM
437,Line Travels,Aurangabad - Thane,2370,05:00 PM
438,Coast Coast,Aurangabad - Nashik,3303,04:00 PM
439,Express Runner,Aurangabad - Jhansi,2118,06:00 PM
440,Way Runner,Aurangabad - Bhubaneswar,3089,10:00 AM
441,Express Travels,Aurangabad - Panipat,907,07:00 AM
442,Way Wheels,Aurangabad - Jaipur,2341,09:00 AM
443,Coast Line,Aurangabad - Kanpur,1469,03:00 PM
444,Way Ride,Aurangabad - Patna,2338,11:00 AM
445,Runner Travels,Aurangabad - Salem,3020,10:00 PM
446,Express Shuttle,Aurangabad - Ghaziabad,2089,07:00 PM
447,Way Line,Aurangabad - Bikaner,1310,10:00 PM
448,Path Path,Dhanbad - Indore,2199,08:00 AM
449,Shuttle Express,Dhanbad - Bhubaneswar,2266,09:00 PM
450,Link Way,Dhanbad - Haridwar,2037,06:00 AM
451,Link Express,Dhanbad - Nagpur,1226,09:00 AM
452,Travels Runner,Dhanbad - Nagpur,2493,05:00 PM
453,Travels Travels,Dhanbad - Guntur,1673,06:00 PM
454,Express Runner,Dhanbad - Dehradun,846,10:00 PM
455,Travels Link,Dhanbad - Cuttack,1566,08:00 AM
456,Travels Express,Dhanbad - Lucknow,1615,06:00 PM
457,Wheels Runner,Dhanbad - Ghaziabad,3848,07:00 AM
458,Way Link,Dhanbad - Hubli,3115,05:00 PM
459,Express Travels,Dhanbad - Vadodara,1256,01:00 PM
460,Way Express,Amritsar - Aligarh,3875,07:00 PM
